code,message
101,ユーザ名またはパスワードが不正です。
102,ユーザが登録されていません。
103,"パスワード入力に所定回数以上失敗しました。
アカウントをロックします。"
104,"このアカウントはロックされています。
管理者ユーザにお問い合わせください。"
201,ユーザ名またはパスワードが不正です。
202,ユーザ種別が不正です。
203,指定されたユーザは既に存在します。
204,ユーザ登録数が最大に達しました。
205,指定されたユーザは存在しません。
206,ログイン中のユーザは削除できません。
207,入力文字が不正です。
220,権限がありません。
301,会議室名が不正です。
302,指定された会議室は存在しません。
303,会議室登録数が最大に達しました。
304,指定された会議室は既に存在します。
322,会議室が登録されていません。
401,日付が不正です。(形式：YYYY/MM/DD)
402,開始時刻が不正です。(形式：HH:mm)
403,終了時刻が不正です。(形式：HH:mm)
404,会議室名が不正です。
405,指定された会議室は存在しません。
406,予約可能な日付がありません。
407,開始時刻と終了時刻の順序が逆に指定されました。
408,過去の日付が指定されました。
409,重複する予約が存在します。
410,予約件数が最大に達しました。
411,予約IDが不正です。
412,指定された予約は存在しません。
413,予約取り消しの権利がありません。
414,入力文字が不正です。
422,予約が存在しません。
901,メニュー番号が不正です。
902,指定された番号に対する操作が存在しません。
65535,不明なエラーが検出されました。